聲,呼,等,韻,調,組,攝,單字,多音,组词,原註
匣,開,一,東,平,影,通,訌,0,,
匣,開,一,東,平,影,通,洪,0,,
匣,開,一,東,平,影,通,虹,0,,
匣,開,一,東,平,影,通,烘,0,,
匣,開,一,東,平,影,通,紅,1,,紅色
見,開,一,東,平,見,通,紅,1,,女紅
匣,開,一,東,平,影,通,鴻,0,,
影,開,一,東,平,影,通,翁,0,,
影,開,一,東,平,影,通,蓊,0,,
云,開,三,東,平,影,通,雄,0,,
云,開,三,東,平,影,通,熊,0,,
以,開,三,東,平,以,通,融,0,,
幫,合,三,東,平,幫,通,楓,0,,
幫,合,三,東,平,幫,通,風,0,,
並,開,一,東,平,幫,通,蓬,0,,
並,開,一,東,平,幫,通,篷,0,,
並,開,一,東,平,幫,通,蜂,0,,
並,合,三,東,平,幫,通,梵,0,,
並,合,三,東,平,幫,通,馮,1,,馮姓
並,開,三,蒸,平,幫,曾,馮,1,,暴虎馮河
明,開,一,東,平,幫,通,矇,0,,
明,開,一,東,平,幫,通,濛,0,,
明,開,一,東,平,幫,通,朦,0,,
明,開,一,東,平,幫,通,檬,0,,
明,開,一,東,平,幫,通,蒙,0,,
明,合,三,東,平,幫,通,夢,0,,
滂,合,三,東,平,幫,通,豐,0,,
群,開,三,東,平,見,通,窮,0,,
端,開,一,東,上,端,通,董,0,,
透,開,一,東,上,端,通,桶,0,,
定,開,一,東,上,端,通,動,0,,
來,開,一,東,上,來,通,攏,0,,
精,開,一,東,上,精,通,總,0,,
溪,開,一,東,上,見,通,孔,0,,
幫,開,一,東,上,幫,通,俸,0,,
明,開,一,東,上,幫,通,懵,0,,
端,開,一,東,去,端,通,棟,0,,
透,開,一,東,去,端,通,痛,0,,
來,開,一,東,去,來,通,弄,0,,
精,開,一,東,去,精,通,粽,0,,
心,開,一,東,去,精,通,送,0,,
澄,開,三,東,去,知,通,仲,0,,
昌,開,三,東,去,章,通,銃,0,,
見,開,一,東,去,見,通,貢,0,,
匣,開,一,東,去,影,通,哄,1,,哄騙
,,,,,,,哄,1,,亂哄哄
影,開,一,東,去,影,通,甕,0,,
幫,合,三,東,去,幫,通,諷,0,,
並,合,三,東,去,幫,通,鳳,0,,
端,開,一,東,入,端,通,啄,0,,
端,開,一,東,入,端,通,竺,0,,
透,開,一,東,入,端,通,禿,0,,
定,開,一,東,入,端,通,犢,0,,
定,開,一,東,入,端,通,獨,0,,
定,開,一,東,入,端,通,瀆,0,,
定,開,一,東,入,端,通,讀,1,,朗讀
定,開,一,侯,去,端,流,讀,1,,句讀
來,開,一,東,入,來,通,麓,0,,
來,開,一,東,入,來,通,鹿,0,,
來,開,一,東,入,來,通,漉,0,,
來,開,一,東,入,來,通,碌,0,,
來,開,一,東,入,來,通,角,0,,
,,,,,,,角,1,,
來,開,一,東,入,來,通,祿,0,,
來,開,三,東,入,來,通,陸,0,,
來,開,三,東,入,來,通,六,0,,
精,開,三,東,入,精,通,蹙,0,,
清,開,一,東,入,精,通,簇,0,,
清,開,三,東,入,精,通,蹴,0,,
從,開,一,東,入,精,通,族,0,,
從,開,一,東,入,精,通,鑿,0,,
心,開,一,東,入,精,通,速,0,,
心,開,三,東,入,精,通,肅,0,,
心,開,三,東,入,精,通,夙,0,,
知,開,三,東,入,知,通,竹,0,,
知,開,三,東,入,知,通,築,0,,
澄,開,三,東,入,知,通,逐,0,,
澄,開,三,東,入,知,通,軸,0,,
澄,開,三,東,入,知,通,筑,0,,
初,開,三,東,入,莊,通,矗,0,,
生,開,三,東,入,莊,通,縮,0,,
常,開,三,東,入,章,通,淑,0,,
常,開,三,東,入,章,通,熟,0,,
常,開,三,東,入,章,通,塾,0,,
常,開,三,東,入,章,通,孰,0,,
書,開,三,東,入,章,通,倏,0,,
書,開,三,東,入,章,通,叔,0,,
日,開,三,東,入,日,通,肉,0,,
見,開,一,東,入,見,通,穀,0,,
見,開,一,東,入,見,通,谷,1,,山谷
以,開,三,鍾,入,以,通,谷,1,,吐谷渾
來,開,一,東,入,來,通,谷,1,,谷蠡王
見,開,三,東,入,見,通,掬,0,,
見,開,三,東,入,見,通,鞠,0,,
見,開,三,東,入,見,通,菊,0,,
溪,開,一,東,入,見,通,哭,0,,
溪,開,三,東,入,見,通,麴,0,,
曉,開,三,東,入,影,通,蓄,0,,
匣,開,一,東,入,影,通,斛,0,,
影,開,一,東,入,影,通,屋,0,,
影,開,三,東,入,影,通,郁,0,,
以,開,三,東,入,以,通,粥,0,,
以,開,三,東,入,以,通,鬻,0,,
以,開,三,東,入,以,通,育,0,,
以,開,三,東,入,以,通,昱,0,,
幫,開,一,東,入,幫,通,蹼,0,,
幫,開,一,東,入,幫,通,卜,0,,
幫,合,三,東,入,幫,通,腹,0,,
幫,合,三,東,入,幫,通,蝠,0,,
幫,合,三,東,入,幫,通,福,0,,
幫,合,三,東,入,幫,通,幅,0,,
並,開,一,東,入,幫,通,僕,0,,
並,合,三,東,入,幫,通,服,0,,
並,合,三,東,入,幫,通,匐,0,,
並,合,三,東,入,幫,通,馥,0,,
明,開,一,東,入,幫,通,木,0,,
明,開,一,東,入,幫,通,沐,0,,
明,合,三,東,入,幫,通,睦,0,,
明,合,三,東,入,幫,通,穆,0,,
明,合,三,東,入,幫,通,目,0,,
明,合,三,東,入,幫,通,牧,0,,
滂,開,一,東,入,幫,通,撲,0,,
端,合,一,冬,平,端,通,冬,0,,
定,合,一,冬,平,端,通,疼,1,,疼痛
定,合,一,冬,平,端,通,疼,1,,疼愛
定,合,一,冬,平,端,通,彤,0,,
定,合,一,冬,平,端,通,鼕,0,,
泥,合,一,冬,平,端,通,農,0,,
泥,合,一,冬,平,端,通,膿,0,,流脓水
精,合,一,冬,平,精,通,宗,0,,
從,合,一,冬,平,精,通,淙,0,,
從,合,一,冬,平,精,通,鬃,0,,
心,合,一,冬,平,精,通,鬆,0,,
透,合,一,冬,去,端,通,統,0,,
精,合,一,冬,去,精,通,綜,0,,
心,合,一,冬,去,精,通,宋,0,,
端,合,一,冬,入,端,通,篤,0,,
端,合,一,冬,入,端,通,督,0,,
定,合,一,冬,入,端,通,毒,0,,
泥,合,一,冬,入,端,通,褥,0,,
溪,合,一,冬,入,見,通,酷,0,,
影,合,一,冬,入,影,通,沃,0,,
娘,開,三,鍾,平,知,通,濃,0,,
來,開,三,鍾,平,來,通,龍,0,,
精,開,三,鍾,平,精,通,縱,1,,縱橫
精,開,三,鍾,去,精,通,縱,1,,放縱
精,開,三,鍾,平,精,通,蹤,0,,
精,開,三,鍾,平,精,通,樅,0,,
從,開,三,鍾,平,精,通,從,1,,跟從
清,開,三,鍾,平,精,通,從,1,,從容
從,開,三,鍾,平,精,通,從,1,,從兄弟
邪,開,三,鍾,平,精,通,松,0,,
邪,開,三,鍾,平,精,通,訟,0,,
澄,開,三,鍾,平,知,通,重,1,,重新
澄,開,三,鍾,上,知,通,重,1,,重量
澄,開,三,鍾,去,知,通,重,1,,重要/重量
章,開,三,鍾,平,章,通,鐘,0,,
章,開,三,鍾,平,章,通,忪,1,,怔忪
,,,,,,,忪,1,,惺忪
章,開,三,鍾,平,章,通,鍾,0,,
昌,開,三,鍾,平,章,通,憧,0,,
昌,開,三,鍾,平,章,通,衝,1,,衝鋒
,,,,,,,衝,1,,衝勁
書,開,三,鍾,平,章,通,舂,0,,
日,開,三,鍾,平,日,通,茸,0,,
見,開,三,鍾,平,見,通,共,0,,
,,,,,,,共,1,,
見,開,三,鍾,平,見,通,恭,0,,
見,開,三,鍾,平,見,通,供,1,,提供
見,開,三,鍾,去,見,通,供,1,,供奉
曉,開,三,鍾,平,影,通,凶,0,,
曉,開,三,鍾,平,影,通,洶,0,,
曉,開,三,鍾,平,影,通,兇,0,,
曉,開,三,鍾,平,影,通,匈,0,,
影,開,三,鍾,平,影,通,雍,0,,
以,開,三,鍾,平,以,通,蓉,0,,
以,開,三,鍾,平,以,通,溶,0,,
以,開,三,鍾,平,以,通,容,0,,
以,開,三,鍾,平,以,通,傭,0,,
以,開,三,鍾,平,以,通,鎔,0,,
以,開,三,鍾,平,以,通,頌,0,,
以,開,三,鍾,平,以,通,庸,0,,
幫,合,三,鍾,平,幫,通,封,0,,
並,合,三,鍾,平,幫,通,逢,0,,
並,合,三,鍾,平,幫,通,縫,1,,裁縫
並,合,三,鍾,去,幫,通,縫,1,,裂縫
滂,合,三,鍾,平,幫,通,鋒,0,,
滂,合,三,鍾,平,幫,通,烽,0,,
滂,合,三,鍾,平,幫,通,丰,0,,
來,開,三,鍾,上,來,通,隴,0,,
心,開,三,鍾,上,精,通,聳,0,,
心,開,三,鍾,上,精,通,悚,0,,
心,開,三,鍾,上,精,通,慫,0,,
知,開,三,鍾,上,知,通,冢,0,,
知,開,三,鍾,上,知,通,塚,0,,
徹,開,三,鍾,上,知,通,寵,0,,
章,開,三,鍾,上,章,通,踵,0,,
章,開,三,鍾,上,章,通,腫,0,,
章,開,三,鍾,上,章,通,種,1,,種子
章,開,三,鍾,去,章,通,種,1,,種植
見,開,三,鍾,上,見,通,鞏,0,,
見,開,三,鍾,上,見,通,拱,0,,
溪,開,三,鍾,上,見,通,恐,0,,
影,開,三,鍾,上,影,通,擁,0,,
以,開,三,鍾,上,以,通,恿,0,,
以,開,三,鍾,上,以,通,蛹,0,,
以,開,三,鍾,上,以,通,勇,0,,
並,合,三,鍾,上,幫,通,奉,0,,
滂,合,三,鍾,上,幫,通,捧,0,,
邪,開,三,鍾,去,精,通,誦,0,,
以,開,三,鍾,去,以,通,用,0,,
來,開,三,鍾,入,來,通,綠,0,,
來,開,三,鍾,入,來,通,錄,0,,
清,開,三,鍾,入,精,通,促,0,,
心,開,三,鍾,入,精,通,粟,0,,
邪,開,三,鍾,入,精,通,續,0,,
邪,開,三,鍾,入,精,通,俗,0,,
章,開,三,鍾,入,章,通,燭,0,,
章,開,三,鍾,入,章,通,囑,0,,
章,開,三,鍾,入,章,通,矚,0,,
章,開,三,鍾,入,章,通,屬,1,,屬文
常,開,三,鍾,入,章,通,屬,1,,屬於
昌,開,三,鍾,入,章,通,觸,0,,
常,開,三,鍾,入,章,通,鐲,0,,
常,開,三,鍾,入,章,通,蜀,0,,
書,開,三,鍾,入,章,通,束,0,,
船,開,三,鍾,入,章,通,贖,0,,
日,開,三,鍾,入,日,通,辱,0,,
溪,開,三,鍾,入,見,通,曲,0,,
疑,開,三,鍾,入,見,通,獄,0,,
,,,,,,,獄,1,,
疑,開,三,鍾,入,見,通,玉,0,,
曉,開,三,鍾,入,影,通,旭,0,,
以,開,三,鍾,入,以,通,浴,0,,
以,開,三,鍾,入,以,通,慾,0,,
以,開,三,鍾,入,以,通,欲,0,,
群,開,三,鍾,入,見,通,局,0,,
,,,,,,,局,1,,
知,開,二,江,平,知,江,樁,0,,
澄,開,二,江,平,知,江,撞,0,,
,,,,,,,撞,1,,
澄,開,二,江,平,知,江,幢,1,,幡幢
澄,開,二,江,去,知,江,幢,1,,量詞
,,,,,,,幢,1,,海幢寺
生,開,二,江,平,莊,江,雙,0,,
見,開,二,江,平,見,江,江,0,,
見,開,二,江,平,見,江,肛,0,,
見,開,二,江,平,見,江,扛,0,,
,,,,,,,扛,1,,
溪,開,二,江,平,見,江,控,0,,
溪,開,二,江,平,見,江,腔,0,,
匣,開,二,江,平,影,江,缸,0,,
匣,開,二,江,平,影,江,降,1,,投降
見,開,二,江,去,見,江,降,1,,降落
幫,開,二,江,平,幫,江,邦,0,,
並,開,二,江,平,幫,江,龐,0,,
見,開,二,江,上,見,江,講,0,,
見,開,二,江,上,見,江,港,0,,
匣,開,二,江,上,影,江,項,0,,
,,,,,,,項,1,,
並,開,二,江,上,幫,江,棒,0,,
並,開,二,江,上,幫,江,蚌,0,,
匣,開,二,江,去,影,江,巷,0,,
,,,,,,,巷,1,,
知,開,二,江,入,知,江,桌,0,,
知,開,二,江,入,知,江,琢,0,,
知,開,二,江,入,知,江,卓,0,,
澄,開,二,江,入,知,江,擢,0,,
澄,開,二,江,入,知,江,濁,0,,
莊,開,二,江,入,莊,江,捉,0,,
,,,,,,,捉,1,,
崇,開,二,江,入,莊,江,浞,0,,
生,開,二,江,入,莊,江,朔,0,,
溪,開,二,江,入,見,江,確,0,,
,,,,,,,確,1,,
疑,開,二,江,入,見,江,嶽,0,,
疑,開,二,江,入,見,江,岳,0,,
匣,開,二,江,入,影,江,學,0,,
,,,,,,,學,1,,
影,開,二,江,入,影,江,握,0,,
影,開,二,江,入,影,江,渥,0,,
影,開,二,江,入,影,江,喔,1,,喔喔叫
,,,,,,,喔,1,,嘆詞
幫,開,二,江,入,幫,江,剝,0,,
,,,,,,,剝,1,,
幫,開,二,江,入,幫,江,駁,0,,
,,,,,,,駁,0,,
並,開,二,江,入,幫,江,雹,0,,
滂,開,二,江,入,幫,江,璞,0,,
來,開,三,支A,平,來,止,罹,0,,
來,開,三,支A,平,來,止,鸝,0,,
來,開,三,支A,平,來,止,離,0,,
來,開,三,支A,平,來,止,驪,0,,
來,開,三,支A,平,來,止,麗,0,,
來,開,三,支A,平,來,止,璃,1,,琉璃
來,開,三,支A,平,來,止,璃,1,,玻璃
來,開,三,支A,平,來,止,漓,0,,
來,開,三,支A,平,來,止,籬,0,,
精,合,三,支A,平,精,止,劑,0,,
清,開,三,支A,平,精,止,雌,0,,
從,開,三,支A,平,精,止,疵,0,,
心,開,三,支A,平,精,止,斯,0,,
心,開,三,支A,平,精,止,廝,0,,
邪,合,三,支A,平,精,止,隨,0,,
邪,合,三,支A,平,精,止,隋,0,,
章,開,三,支A,平,章,止,肢,0,,
章,開,三,支A,平,章,止,支,0,,
章,開,三,支A,平,章,止,只,0,,
章,開,三,支A,平,章,止,枝,0,,
常,開,三,支A,上,章,止,氏,1,,姓氏
章,開,三,支A,平,章,止,氏,1,,月氏
昌,合,三,支A,平,章,止,炊,0,,
昌,合,三,支A,平,章,止,吹,0,,
常,開,三,支A,平,章,止,提,0,,
常,合,三,支A,平,章,止,垂,0,,
常,開,三,支A,平,章,止,匙,1,,鑰匙
,,,,,,,匙,1,,茶匙，湯匙，一本作「瓷」
常,開,三,支A,平,章,止,堤,0,,
書,開,三,支A,平,章,止,施,0,,
日,開,三,支A,平,日,止,兒,0,,
見,合,三,支A,平,見,止,規,0,,
溪,合,三,支A,平,見,止,窺,0,,
曉,合,三,支A,平,影,止,墮,0,,
以,開,三,支A,平,以,止,蛇,1,,委蛇
船,開,三,麻,平,章,假,蛇,1,,毒蛇
以,合,三,支A,平,以,止,蠵,0,,
以,開,三,支A,平,以,止,移,0,,
幫,開,三,支A,平,幫,止,卑,0,,
並,開,三,支A,平,幫,止,脾,0,,
明,開,三,支A,平,幫,止,瀰,0,,
明,開,三,支A,平,幫,止,獼,0,,
明,開,三,支A,平,幫,止,彌,0,,
群,開,三,支A,平,見,止,歧,0,,
群,開,三,支A,平,見,止,祇,1,,神祇
章,開,三,支A,上,章,止,祇,1,,同「只有」的「只」
群,開,三,支A,平,見,止,示,0,,
來,合,三,支A,上,來,止,累,1,,累積
來,合,三,支A,去,來,止,累,1,,受累；連累
來,合,三,脂A,平,來,止,累,1,,果實累累，同「纍」
來,開,三,支A,上,來,止,邐,0,,
精,開,三,支A,上,精,止,紫,0,,
清,開,三,支A,上,精,止,此,0,,
心,合,三,支A,上,精,止,髓,0,,
心,開,三,支A,上,精,止,徙,0,,
章,開,三,支A,上,章,止,紙,0,,
章,開,三,支A,上,章,止,咫,0,,
章,開,三,支A,上,章,止,枳,0,,
昌,開,三,支A,上,章,止,侈,0,,
常,開,三,支A,上,章,止,是,0,,
書,開,三,支A,上,章,止,弛,0,,
船,開,三,支A,上,章,止,舐,0,,
日,合,三,支A,上,日,止,蕊,0,,
日,開,三,支A,上,日,止,爾,0,,
日,開,三,支A,上,日,止,邇,0,,
溪,開,三,支A,上,見,止,企,0,,
並,開,三,支A,上,幫,止,婢,0,,
精,開,三,支A,去,精,止,積,0,,
清,開,三,支A,去,精,止,刺,0,,
從,開,三,支A,去,精,止,漬,0,,
心,開,三,支A,去,精,止,賜,0,,
章,合,三,支A,去,章,止,惴,0,,
常,合,三,支A,去,章,止,睡,0,,
常,合,三,支A,去,章,止,瑞,0,,
書,開,三,支A,去,章,止,翅,0,,
溪,開,三,支A,去,見,止,吱,0,,
影,開,三,支A,去,影,止,縊,0,,
以,開,三,支A,去,以,止,易,1,,容易
以,開,三,清A,入,以,梗,易,1,,交易
幫,開,三,支A,去,幫,止,臂,0,,
並,開,三,支A,去,幫,止,避,0,,
滂,開,三,支A,去,幫,止,譬,0,,
知,開,三,支B,平,知,止,知,1,,知道
,,,,,,,知,1,,知識
知,開,三,支B,平,知,止,蜘,0,,
澄,開,三,支B,平,知,止,池,0,,
澄,合,三,支B,平,知,止,錘,0,,鐵錘，稱錘
澄,開,三,支B,平,知,止,馳,0,,
初,開,二,麻,平,莊,假,差,1,,差別
初,開,二,佳,平,莊,蟹,差,1,,出差
初,開,三,支B,平,莊,止,差,1,,參差
生,合,三,脂B,平,莊,止,衰,1,,衰老
初,合,三,支B,平,莊,止,衰,1,,齊衰
見,開,三,支B,平,見,止,妓,0,,
見,開,三,支B,平,見,止,畸,0,,
溪,開,三,支B,平,見,止,崎,1,,崎嶇
群,開,三,微,平,見,止,崎,1,,長崎
溪,合,三,支B,平,見,止,虧,0,,
疑,開,三,支B,平,見,止,崖,0,,
疑,開,三,支B,平,見,止,儀,0,,
疑,開,三,支B,平,見,止,宜,0,,
疑,開,三,支B,平,見,止,涯,0,,
疑,合,三,支B,平,見,止,危,0,,
曉,開,三,支B,平,影,止,犧,0,,
曉,開,三,支B,平,影,止,羲,0,,
曉,開,三,支B,平,影,止,曦,0,,
曉,開,三,支B,平,影,止,戲,0,,
影,開,三,支B,平,影,止,犄,0,,
影,合,三,支B,平,影,止,逶,0,,
影,開,三,支B,平,影,止,椅,0,,
影,開,三,支B,平,影,止,漪,0,,
影,合,三,支B,平,影,止,萎,0,,枯萎
影,合,三,支B,平,影,止,委,1,,虛與委蛇，委委佗佗
影,合,三,支B,上,影,止,委,1,,委託
云,合,三,支B,平,影,止,爲,1,,作爲
云,合,三,支B,去,影,止,爲,1,,爲了
幫,開,三,支B,平,幫,止,襬,0,,
幫,開,三,支B,平,幫,止,碑,0,,
並,開,三,支B,平,幫,止,疲,0,,
並,開,三,支B,平,幫,止,罷,0,,
並,開,三,支B,平,幫,止,皮,0,,
明,開,三,支B,平,幫,止,糜,0,,
滂,開,三,支B,平,幫,止,披,0,,
群,開,三,支B,平,見,止,奇,1,,奇怪
見,開,三,支B,平,見,止,奇,1,,奇數
群,開,三,支B,平,見,止,琦,0,,
群,開,三,支B,平,見,止,騎,1,,騎馬
群,開,三,支B,去,見,止,騎,1,,鐵騎
初,合,三,支B,上,莊,止,揣,0,,
生,開,三,支B,上,莊,止,灑,0,,
見,合,三,支B,上,見,止,詭,0,,
溪,合,三,支B,上,見,止,跪,0,,
溪,開,三,支B,上,見,止,綺,0,,
疑,開,三,支B,上,見,止,蟻,0,,
曉,合,三,支B,上,影,止,毀,0,,
影,開,三,支B,上,影,止,倚,0,,
幫,開,三,支B,上,幫,止,彼,0,,
並,開,三,支B,上,幫,止,被,1,,棉被
並,開,三,支B,去,幫,止,被,1,,被動
明,開,三,支B,上,幫,止,靡,1,,
,,,,,,,靡,1,,
群,開,三,支B,上,見,止,技,0,,
知,開,三,支B,去,知,止,智,0,,
見,開,三,支B,去,見,止,寄,0,,
疑,開,三,支B,去,見,止,誼,0,,
疑,開,三,支B,去,見,止,義,0,,
疑,開,三,支B,去,見,止,議,0,,
來,合,三,脂A,平,來,止,纍,0,,
來,開,三,脂A,平,來,止,梨,0,,
精,開,三,脂A,平,精,止,諮,0,,
精,開,三,脂A,平,精,止,資,0,,
精,開,三,脂A,平,精,止,姿,0,,
從,開,三,脂A,平,精,止,瓷,0,,
從,開,三,脂A,平,精,止,茨,0,,
心,合,三,脂A,平,精,止,雖,0,,
心,開,三,脂A,平,精,止,私,0,,
章,開,三,脂A,平,章,止,脂,0,,
章,合,三,脂A,平,章,止,錐,0,,
昌,合,三,脂A,平,章,止,推,0,,
常,合,三,脂A,平,章,止,誰,0,,
書,開,三,脂A,平,章,止,屍,0,,
曉,開,三,脂A,平,影,止,屎,0,,
曉,開,三,脂A,平,影,止,咦,0,,
影,開,三,脂A,平,影,止,伊,0,,
影,開,三,脂A,平,影,止,黝,0,,
以,開,三,脂A,平,以,止,胰,0,,
以,開,三,脂A,平,以,止,夷,0,,
以,合,三,脂A,平,以,止,惟,0,,
以,開,三,脂A,平,以,止,羨,0,,
以,開,三,脂A,平,以,止,寅,0,,
以,合,三,脂A,平,以,止,唯,1,,唯一
以,合,三,脂A,上,以,止,唯,1,,唯唯諾諾
以,合,三,脂A,平,以,止,遺,1,,遺失
以,合,三,脂A,去,以,止,遺,1,,贈遺
以,合,三,脂A,平,以,止,維,0,,
以,開,三,脂A,平,以,止,姨,0,,
並,開,三,脂A,平,幫,止,琵,0,,
幫,開,三,脂A,上,幫,止,比,1,,比較
並,開,三,脂A,去,幫,止,比,1,,比鄰
並,開,三,脂A,平,幫,止,枇,0,,
群,開,三,脂A,平,見,止,鰭,0,,
群,合,三,脂A,平,見,止,葵,0,,
來,合,三,脂A,上,來,止,壘,1,,堡壘
,,,,,,,壘,1,,神荼鬱壘
來,開,三,脂A,上,來,止,履,0,,
來,合,三,脂A,上,來,止,耒,0,,
精,開,三,脂A,上,精,止,姊,0,,
心,開,三,脂A,上,精,止,死,0,,
章,開,三,脂A,上,章,止,指,0,,
章,開,三,脂A,上,章,止,旨,0,,
常,開,三,脂A,上,章,止,視,0,,
書,開,三,脂A,上,章,止,矢,0,,
書,合,三,脂A,上,章,止,水,0,,
見,合,三,脂A,上,見,止,癸,0,,
幫,開,三,脂A,上,幫,止,妣,0,,
群,合,三,脂A,上,見,止,揆,0,,
定,開,三,脂A,去,端,止,地,0,,
來,合,三,脂A,去,來,止,淚,0,,
來,開,三,脂A,去,來,止,利,0,,
來,合,三,脂A,去,來,止,類,0,,
來,開,三,脂A,去,來,止,痢,0,,
精,開,三,脂A,去,精,止,恣,1,,恣意
,,,,,,,恣,1,,恣睢
精,合,三,脂A,去,精,止,醉,0,,
清,合,三,脂A,去,精,止,翠,0,,
清,開,三,脂A,去,精,止,次,0,,
從,合,三,脂A,去,精,止,悴,0,,
從,開,三,脂A,去,精,止,自,0,,
從,開,三,脂A,去,精,止,嫉,0,,
從,合,三,脂A,去,精,止,萃,0,,
心,合,三,脂A,去,精,止,邃,0,,
心,合,三,脂A,去,精,止,粹,0,,
心,開,三,脂A,去,精,止,四,0,,
心,開,三,脂A,去,精,止,肆,1,,肆意
心,開,三,脂A,去,精,止,肆,1,,四的大寫
心,合,三,脂A,去,精,止,祟,0,,
心,開,三,脂A,去,精,止,駟,0,,
邪,合,三,脂A,去,精,止,遂,0,,
邪,合,三,脂A,去,精,止,穗,0,,
邪,合,三,脂A,去,精,止,彗,0,,
邪,合,三,脂A,去,精,止,隧,0,,
章,開,三,脂A,去,章,止,摯,0,,
章,開,三,脂A,去,章,止,至,0,,
昌,合,三,脂A,去,章,止,出,0,,
常,開,三,脂A,去,章,止,嗜,0,,
日,開,三,脂A,去,日,止,二,0,,
日,開,三,脂A,去,日,止,貳,0,,
見,合,三,脂A,去,見,止,季,0,,
溪,開,三,脂A,去,見,止,棄,0,,
幫,開,三,脂A,去,幫,止,庇,0,,
並,開,三,脂A,去,幫,止,鼻,0,,
明,開,三,脂A,去,幫,止,寐,0,,
滂,開,三,脂A,去,幫,止,屁,0,,
群,合,三,脂A,去,見,止,悸,0,,
娘,開,三,脂B,平,知,止,尼,0,,
娘,開,三,脂B,平,知,止,呢,1,,呢喃
娘,開,三,脂B,平,知,止,呢,1,,語氣助詞
知,開,三,脂B,平,知,止,胝,0,,
知,合,三,脂B,平,知,止,追,0,,
澄,開,三,脂B,平,知,止,遲,0,,
澄,合,三,脂B,平,知,止,槌,0,,
澄,合,三,脂B,平,知,止,椎,1,,鐵椎
澄,合,三,脂B,平,知,止,椎,1,,脊椎
澄,合,三,脂B,平,知,止,鎚,0,,
澄,開,三,脂B,平,知,止,莉,0,,
生,開,三,脂B,平,莊,止,師,0,,
生,開,三,脂B,平,莊,止,篩,0,,
生,開,三,脂B,平,莊,止,獅,0,,
見,開,三,脂B,平,見,止,肌,0,,
見,合,三,脂B,平,見,止,龜,1,,
,,,,,,,龜,1,,
見,開,三,尤,平,見,流,龜,1,,
見,開,三,脂B,平,見,止,飢,0,,
云,合,三,脂B,平,影,止,帷,0,,
幫,開,三,脂B,平,幫,止,悲,0,,
並,開,三,脂B,平,幫,止,邳,0,,
明,開,三,脂B,平,幫,止,麋,0,,
明,開,三,脂B,平,幫,止,薇,0,,
明,開,三,脂B,平,幫,止,黴,0,,
明,開,三,脂B,平,幫,止,楣,0,,
明,開,三,脂B,平,幫,止,眉,0,,
群,合,三,脂B,平,見,止,逵,0,,
見,合,三,脂B,上,見,止,軌,0,,
見,開,三,脂B,上,見,止,几,0,,
見,合,三,脂B,上,見,止,晷,0,,
幫,開,三,脂B,上,幫,止,鄙,0,,
並,開,三,脂B,上,幫,止,圮,0,,
幫,合,三,尤,上,幫,流,否,1,,否定
並,開,三,脂B,上,幫,止,否,1,,否極泰來
明,開,三,脂B,上,幫,止,美,0,,
娘,開,三,脂B,去,知,止,膩,0,,
知,開,三,脂B,去,知,止,致,0,,
章,開,三,真A,入,章,臻,質,1,,物質
知,開,三,脂B,去,知,止,質,1,,人質
澄,合,三,脂B,去,知,止,墜,0,,
澄,開,三,脂B,去,知,止,稚,0,,
